ID,Eco_Final_Pred,Movement_Final_Pred,Dmg_Final_Pred,Flash_Final_Pred,Grenade_Final_Pred,Kill_Final_Pred,Wf_Final_Pred,isCheater
我不能让她爽_g151-n-20230817074306348975326,4.9539683e-08,1.4746206e-08,2.611923e-08,6.097626e-12,0.0,2.4312368000000002e-32,0.0,0
min2030500755_g151-n-20230817074306348975326,4.9539683e-08,1.4746206e-08,2.6119224e-08,1.8006517e-10,7.420309999999999e-21,1.7371183999999998e-29,1.0972704e-25,0
辰梦萧逸iyu_g151-n-20230817074306348975326,4.9539683e-08,1.4746206e-08,2.6119224e-08,1.6008117e-11,0.0,9.4094535e-20,0.25117642,0
lingxiabalni_g151-n-20230817074306348975326,4.9539683e-08,1.4746206e-08,2.611923e-08,5.4909627e-12,0.0,1.599481e-30,0.0005880923,0
嘟嘟来也DTwz_g151-n-20230817074306348975326,4.9539683e-08,1.4746206e-08,2.6119235e-08,2.9990874e-11,1.7509578e-35,2.5607532e-16,0.40475792,1
麻瓜球aRxz_g151-n-20230817074306348975326,4.9539683e-08,1.4746206e-08,2.6119226e-08,2.182712e-12,0.0,6.780504999999999e-20,0.20359118,1
yangyu3375_g151-n-20230817074306348975326,4.9539683e-08,1.4746206e-08,2.6119226e-08,2.0560478e-10,0.0,1.8911457e-24,0.08807203,0
126yy_g151-n-20230817074306348975326,4.9539683e-08,1.4746206e-08,2.6119226e-08,2.2360523e-12,0.0,3.010937e-29,2.1517628e-33,0
rgcaojz_g151-n-20230817074306348975326,4.9539683e-08,1.4746206e-08,2.6119226e-08,5.584176e-14,4.421696e-37,1.3269617e-25,0.17343476,0
钤科百合子T_g151-n-20230817074306348975326,4.9539683e-08,1.4746206e-08,2.6119224e-08,1.6691753e-13,0.0,4.4082153e-23,0.15479946,0
LumieSora_g161-20230816215832407252080,4.9539683e-08,1.4746206e-08,2.6119226e-08,4.8407567e-12,0.0,9.702829e-24,0.12610634,0
bataiuaaa_g161-20230816215832407252080,4.9539683e-08,1.4746205e-08,2.6119224e-08,5.4909627e-12,0.0,4.0510074e-31,0.16775626,0
等不到温柔._g161-20230816215832407252080,4.9539683e-08,1.4746206e-08,2.6119226e-08,9.144727e-16,0.0,2.3301805000000002e-26,0.06313205,1
投进三分回家_g161-20230816215832407252080,4.9539683e-08,1.4746206e-08,2.611923e-08,7.564454e-11,0.0,1.8887829e-22,0.052122165,0
张睿张睿_g161-20230816215832407252080,4.9539683e-08,1.4746206e-08,2.611923e-08,8.004052e-13,0.0,2.8014068e-29,1.2816115e-08,0
D-Wu_g161-20230816215832407252080,4.9539683e-08,1.4746206e-08,2.6119231e-08,4.2267682e-12,0.0,9.871555e-21,0.04161324,0
最爱双子座_g161-20230816215832407252080,4.9539683e-08,1.4746206e-08,2.611923e-08,2.8859963e-12,1.5311308e-11,4.961268700000001e-28,0.008903268,0
杨桃柠檬_g161-20230816215832407252080,4.9539683e-08,1.4746206e-08,2.611923e-08,1.3429932e-11,2.26178e-06,3.66569e-25,0.020593889,0
小甜心玖兔_g161-20230816215832407252080,4.9539683e-08,1.4746206e-08,2.6119226e-08,1.6961358e-11,0.0,1.0281908e-18,0.073692925,0
爱丢在西元前_g161-20230816215832407252080,4.9539683e-08,1.4746206e-08,2.6119233e-08,5.317518e-12,8.57705e-40,1.7145105999999998e-23,0.080301546,0
